"Rank","AvgValidacoes","Folder","LoadBalancer","Language","Framework","Database","ErrorCount","Link"
"84","13.390244","gasparbarancelli-nginx","nginx","Quarkus","unknown","Postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gasparbarancelli-nginx"
"85","13.422764","vifonsec4-nginx","nginx","mariadb","c++","unknown","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/vifonsec4-nginx"
"86","13.430894","ricardovhz","envoy","go","gin","rinha2_store","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/ricardovhz"
"87","13.455285","alan_albuquerque","nginx",".NET","unknown","Postgresql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/alan_albuquerque"
"88","13.504065","luizgribeiro-monGo","nginx","Go","unknown","MongoDB","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/luizgribeiro-monGo"
"89","13.520325","geo-aspnet","nginx",".net","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/geo-aspnet"
"90","13.585366","oliveiratheone-rust","nginx","rust","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/oliveiratheone-rust"
"91","13.593496","phaguiar-net","nginx","unknown","aspnet","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/phaguiar-net"
"92","13.723577","gasparbarancelli-procedure","nginx","Quarkus","unknown","Postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gasparbarancelli-procedure"
"93","13.886179","nathanbahiadev__python","nginx","python","sanic","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/nathanbahiadev__python"
"94","13.902439","picklesdog-go","nginx","golang","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/picklesdog-go"
"95","13.934959","alfrederson-go","custom","Go","unknown","unknown","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/alfrederson-go"
"96","13.95122","dscamargo","nginx","golang","unknown","postgresql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/dscamargo"
"97","14","brenonaraujo","nginx","golang","gin","postgresql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/brenonaraujo"
"98","14.00813","daandrn-php","nginx","php","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/daandrn-php"
"99","14.02439","jhonnyboy","nginx","golang","unknown","mysql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/jhonnyboy"
"100","14.105691","bine-php-swoole","nginx","php","swoole","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/bine-php-swoole"
"101","14.138211","ryansdb","nginx","cpp","unknown","custom","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/ryansdb"
"102","14.186992","leodf-go","nginx","go","fiber","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/leodf-go"
"103","14.203252","giovannibassi","envoy","dotnet","unknown","postgresql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/giovannibassi"
"104","14.252033","felipma-rust-rataria-version","nginx","rust","axum","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/felipma-rust-rataria-version"
"105","14.284553","carls-rodrigues","nginx","rust","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/carls-rodrigues"
"106","14.349593","cassiano-manuelzinho-golang","nginx","go","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/cassiano-manuelzinho-golang"
"107","14.373984","renan-norba","nginx","elixir","unknown","mnesia","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/renan-norba"
"108","14.373984","alanlviana-aspnet","nginx","dotnet_core","aspnet_core","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/alanlviana-aspnet"
"109","14.422764","felipeymn","nginx","go","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/felipeymn"
"110","14.422764","ghhernandes","custom","golang","httprouter","pgx","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/ghhernandes"
"111","14.439024","asfernandes-cpp-haproxy-mongoose-pgsql","haproxy","cpp","mongoose","postgresql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/asfernandes-cpp-haproxy-mongoose-pgsql"
"112","14.447154","gmafrac-golang","nginx","golang","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gmafrac-golang"
"113","14.447154","italobbarros","nginx","golang","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/italobbarros"
"114","14.536585","bine-reactphp","nginx","php","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/bine-reactphp"
"115","14.764228","bun-saulofelipe","nginx","typescript","unknown","sqlite","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/bun-saulofelipe"
"116","14.813008","skvggor-pankkivahva-rust","custom","rust","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/skvggor-pankkivahva-rust"
"117","14.829268","cristiano182","nginx","NodeJS","unknown","PostgresSQL","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/cristiano182"
"118","14.869919","rdenadai_bun_sqlite","haproxy","unknown","bun","sqlite","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rdenadai_bun_sqlite"
"119","14.918699","ramosfabiano","nginx","unknown","drogon","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/ramosfabiano"
