"Rank","Folder","LoadBalancer","Language","Framework","Database","SuccessCount","ErrorCount","Link"
"424","isadora-souza-mongodb","nginx","golang","gin","mongodb","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/isadora-souza-mongodb"
"425","mvellasco","custom","python","falcon","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/mvellasco"
"426","thiagofernandes_bun","nginx","unknown","bun","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/thiagofernandes_bun"
"427","emanuel-xavier-rust","nginx","rust","axum","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/emanuel-xavier-rust"
"428","diegoalexandrooliveira","nginx","java","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/diegoalexandrooliveira"
"429","gcrispino-rust","","","","","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gcrispino-rust"
"430","tagliatti","nginx","csharp","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/tagliatti"
"431","noriller-3","nginx","unknown","next.js","better-sqlite3","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/noriller-3"
"432","biigode","nginx","node.js","unknown","PostgreSQL","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/biigode"
"433","sinatrinha-do-povo","nginx","ruby","unknown","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/sinatrinha-do-povo"
"434","andrenbrandao","nginx","go","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/andrenbrandao"
"435","paulo_sergio_alpine","nginx","python","FastApi","PostgreSQL","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/paulo_sergio_alpine"
"436","victornfb","nginx","javascript","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/victornfb"
"437","fbourguignon-micronaut-java21-graalvm","nginx","Java","micronaut","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/fbourguignon-micronaut-java21-graalvm"
"438","kelvinromero-fastapi","nginx","python","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/kelvinromero-fastapi"
"439","rdenadai_rust","nginx","rust","unknown","PostgreSQL","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rdenadai_rust"
"440","vhogemann","custom","F#","Falco","Postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/vhogemann"
"441","santannaf_webflux_wu","nginx","kotlin","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/santannaf_webflux_wu"
"442","thicsilva","nginx","dotnet","unknown","mariadb","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/thicsilva"
"443","engylemure","nginx","rust","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/engylemure"
"444","mdamaceno-ruby","nginx","ruby","unknown","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/mdamaceno-ruby"
"445","heitor-jsr","nginx","golang","unknown","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/heitor-jsr"
"446","jefersonbaixo","nginx","elixir","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/jefersonbaixo"
"447","rschio","nginx","go","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rschio"
"448","paulo_sergio","nginx","python","FastApi","PostgreSQL","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/paulo_sergio"
"449","henr1q-fastapi","nginx","python","fastapi","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/henr1q-fastapi"
"450","viniville-spring-webflux","nginx","java","Spring_Boot_3_-_WebFlux","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/viniville-spring-webflux"
"451","Edmar-Sousa","nginx","php","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/Edmar-Sousa"
"452","grilario","nginx","rust","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/grilario"
"453","joaojr13","nginx","dotnet","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/joaojr13"
"454","diegomarques-springboot","nginx","java","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/diegomarques-springboot"
"455","danielwisky","nginx","java","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/danielwisky"
"456","marcusxavierr","nginx","Go","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/marcusxavierr"
"457","lucas_delboni","nginx","unknown","ktor","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lucas_delboni"
"458","gabrielfmagalhaes","nginx","java","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gabrielfmagalhaes"
"459","jfilipedias","nginx","go","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/jfilipedias"
"460","NathanFirmo","nginx","go","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/NathanFirmo"
"461","1garo","nginx","go","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/1garo"
"462","juliotsutsui-node","nginx","nodejs","express","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/juliotsutsui-node"
"463","cairocampos98","nginx","unknown","bun","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/cairocampos98"
"464","thiagodamas-go-swagger-sqlc-postgres","custom","go","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/thiagodamas-go-swagger-sqlc-postgres"
"465","robsoncassol","nginx","java","unknown","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/robsoncassol"
"466","vitorrt-nodejs","nginx","nodejs","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/vitorrt-nodejs"
"467","lobomfz","nginx","unknown","bun","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lobomfz"
"468","quokka","custom","rust","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/quokka"
"469","renanvm","nginx","java","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/renanvm"
"470","taciossbr","custom","python","flask","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/taciossbr"
"471","bine-php-hyperf","nginx","php","unknown","mariadb","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/bine-php-hyperf"
"472","leosima_dotnet","nginx","cpp","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/leosima_dotnet"
"473","srlucasromulo-not_so_fast_api","nginx","unknown","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/srlucasromulo-not_so_fast_api"
"474","rafaelpadovezi","nginx","unknown","aspnet","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rafaelpadovezi"
"475","rigottig","nginx","rust","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rigottig"
"476","williammaia","nginx","go","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/williammaia"
"477","gusinacio","haproxy","rust","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gusinacio"
"478","rafaelleoni","traefik","golang","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rafaelleoni"
"479","leoggo_rust","nginx","rust","actix_web","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/leoggo_rust"
"480","andersonfernandes-ruby","nginx","ruby","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/andersonfernandes-ruby"
"481","macielti","nginx","clojure","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/macielti"
"482","ddanielsantos","nginx","rust","unknown","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/ddanielsantos"
"483","emiliosheinz-fumegalli-node","nginx","node.js","nest.js","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/emiliosheinz-fumegalli-node"
"484","santanna_web_go","nginx","golang","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/santanna_web_go"
"485","jazielloureiro","nginx","go","unknown","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/jazielloureiro"
"486","rafaqwe1","nginx","go","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rafaqwe1"
"487","buemura-nestjs","nginx","Node","unknown","PostgreSQL","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/buemura-nestjs"
"488","aysion_nodejs","nginx","nodeJS","unknown","mariaDB","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/aysion_nodejs"
"489","julianojj","","","","","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/julianojj"
"490","rafaelpadovezi-django","nginx","python","django","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rafaelpadovezi-django"
"491","brunolipe-a","nginx","nodejs","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/brunolipe-a"
"492","hfurlan-java","nginx","java","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/hfurlan-java"
"493","carlosdemarco","nginx","java","webflux","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/carlosdemarco"
"494","ramonmelod-node-express","nginx","nodejs","express","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/ramonmelod-node-express"
"495","deno-cassiogangrel","custom","unknown","deno","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/deno-cassiogangrel"
"496","jjeanjacques10","custom","Kotlin","Spring_Boot","Postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/jjeanjacques10"
"497","leoggo_golang","nginx","golang","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/leoggo_golang"
"498","tiagorconceicao-node","nginx","node.js","unknown","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/tiagorconceicao-node"
"499","glauberborges","nginx","PHP","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/glauberborges"
"500","gabriel-roque","nginx","NodeJs","unknown","PostgresSQL","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gabriel-roque"
"501","erickreis","nginx","unknown","bun","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/erickreis"
"502","marcusdacoregio","nginx","unknown","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/marcusdacoregio"
"503","franklaercio","nginx","java","unknown","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/franklaercio"
"504","rp83t1","custom","golang","unknown","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rp83t1"
"505","jpmoura-go","nginx","go","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/jpmoura-go"
"506","noriller-4","nginx","unknown","next.js","better-sqlite3","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/noriller-4"
"507","michaelalves204","nginx","ruby","unknown","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/michaelalves204"
"508","antunesleo-python","nginx","python","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/antunesleo-python"
"509","matheusbaptistella-rust","nginx","rust","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/matheusbaptistella-rust"
"510","jeifersonalmeida-spring","nginx","Java","unknown","PostgreSQL","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/jeifersonalmeida-spring"
"511","mateus4k","haproxy","go","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/mateus4k"
"512","yMarceloMaia","custom","node","express","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/yMarceloMaia"
"513","erick-lucca-nodejs","nginx","nodejs","express","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/erick-lucca-nodejs"
"514","matheus-mr","nginx","java","webflux","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/matheus-mr"
"515","samuelfr7","nginx","unknown","bun","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/samuelfr7"
"516","leandroaa","nginx","java","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/leandroaa"
"517","schrammel-bun-prisma","custom","unknown","bun","unknown","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/schrammel-bun-prisma"
"518","mateuscolvr","custom","OCaml","unknown","PostgreSQL","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/mateuscolvr"
"519","rdenadai_python","nginx","python","unknown","PostgreSQL","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rdenadai_python"
"520","mariofronza-kotlin","nginx","kotlin","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/mariofronza-kotlin"
"521","santanna_web_wu","nginx","kotlin","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/santanna_web_wu"
"522","hallexcosta-hyperf","nginx","php","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/hallexcosta-hyperf"
"523","rafaelpadovezi-django-orm","nginx","python","django","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rafaelpadovezi-django-orm"
"524","AlcivanLucas","nginx","Node.js","unknown","PostgreSQL","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/AlcivanLucas"
"525","densyy-bun","custom","unknown","bun","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/densyy-bun"
"526","noriller-5","nginx","ts","next.js","better-sqlite3","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/noriller-5"
"527","jonattas_bunjs","nginx","typescript","unknown","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/jonattas_bunjs"
"528","gwoliveira-no-db-lock","custom","kotlin","ktor","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gwoliveira-no-db-lock"
"529","ptrecenti","nginx","java","unknown","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/ptrecenti"
"530","arrudaricardo-01","nginx","unknown","bun","PostgreSQL","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/arrudaricardo-01"
"531","wosteimer","nginx","python","starlette","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/wosteimer"
"532","guimadev-kotlin","nginx","kotlin","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/guimadev-kotlin"
"533","vpithan-bun","nginx","clojure","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/vpithan-bun"
"534","danilo-nodejs","nginx","nodejs","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/danilo-nodejs"
"535","boaglio-jaiminho","custom","java","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/boaglio-jaiminho"
