"Rank","AvgTotal","Folder","AvgCredito","AvgDebito","AvgExtrato","AvgValidacoes","LoadBalancer","Language","Framework","Database","SuccessCount","ErrorCount","Link"
"39","0.757996","carloseduard0","0.737714","0.736082","0.857527","9.593496","nginx","dotnet","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/carloseduard0"
"40","0.763052","giovannibassi-nonpooled","0.763847","0.71591","0.93172","13.284553","custom",".NET","unknown","Postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/giovannibassi-nonpooled"
"41","0.763784","nathanbahiadev__golang","0.7214","0.640116","3.116667","11.902439","nginx","go","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/nathanbahiadev__golang"
"42","0.765702","jrblatt","0.756647","0.715204","1.157527","12.585366","nginx","rust","unknown","postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/jrblatt"
"43","0.768467","carls-rodrigues","0.786455","0.721457","0.684946","14.284553","nginx","rust","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/carls-rodrigues"
"44","0.769442","marcosqueiroga","0.67578","0.710363","2.419355","9.99187","nginx",".NET","unknown","Postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/marcosqueiroga"
"45","0.7791","brunocamarggo-golang","0.681168","0.704992","2.705376","11.357724","nginx","golang","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/brunocamarggo-golang"
"46","0.783637","reonardoleis","0.784491","0.76117","0.676882","9.504065","nginx","go","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/reonardoleis"
"47","0.784157","lbaesso-dotnet","0.788318","0.750883","0.869892","9.544715","nginx","dotnet","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lbaesso-dotnet"
"48","0.784303","gasparbarancelli-java-sem-framework","0.665156","0.73414","2.327957","12.853659","nginx","java","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gasparbarancelli-java-sem-framework"
"49","0.785067","ogabriel-golang","0.814955","0.733157","0.76129","13.056911","nginx","golang","gin","postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/ogabriel-golang"
"50","0.78923","brenonaraujo","0.84864","0.721382","0.727957","14","nginx","golang","gin","postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/brenonaraujo"
"51","0.801343","oliveiratheone-rust","0.827492","0.747352","0.827957","13.585366","nginx","rust","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/oliveiratheone-rust"
"52","0.804969","oloko64","0.82004","0.762103","0.801075","12.252033","nginx","rust","axum","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/oloko64"
"53","0.805131","giovannibassi","0.787462","0.765482","0.953226","14.203252","envoy","dotnet","unknown","postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/giovannibassi"
